time;Recovered;Infected;Suscep;Exposed
0;0;0;9921;49
1;0;0;9921;49
2;0;0;9921;49
3;1;48;9901;20
4;4;45;9881;40
5;8;61;9856;45
6;15;74;9843;38
7;27;87;9820;36
8;40;87;9784;59
9;52;98;9762;58
10;79;107;9742;42
11;97;111;9706;56
12;109;119;9673;69
13;135;129;9637;69
14;159;138;9604;69
15;191;142;9565;72
16;211;155;9525;79
17;237;168;9473;92
18;267;178;9413;112
19;291;206;9371;102
20;327;230;9297;116
21;362;237;9228;143
22;406;267;9159;138
23;448;294;9081;147
24;503;308;9000;159
25;554;335;8911;170
26;612;358;8820;180
27;675;384;8721;190
28;739;411;8619;201
29;797;452;8505;216
30;897;454;8422;197
31;982;483;8317;188
32;1060;488;8205;217
33;1149;504;8080;237
34;1255;510;7972;233
35;1349;541;7860;220
36;1455;543;7763;209
37;1566;544;7650;210
38;1673;534;7524;239
39;1785;535;7414;236
40;1902;544;7292;232
41;2006;550;7162;252
42;2115;563;7051;241
43;2223;585;6952;210
44;2337;582;6811;240
45;2443;575;6718;234
46;2560;599;6604;207
47;2683;569;6495;223
48;2806;560;6393;211
49;2923;552;6279;216
50;3034;543;6187;206
51;3164;527;6098;181
52;3266;517;5995;192
53;3381;491;5910;188
54;3468;507;5829;166
55;3574;486;5739;171
56;3672;469;5652;177
57;3784;447;5562;177
58;3875;443;5477;175
59;3976;432;5404;158
60;4061;432;5322;155
61;4163;403;5255;149
62;4248;400;5179;143
63;4316;399;5114;141
64;4408;383;5061;118
65;4482;374;4997;117
66;4560;349;4929;132
67;4630;343;4873;124
68;4717;324;4831;98
69;4802;295;4779;94
70;4851;288;4722;109
71;4908;283;4673;106
72;4981;267;4627;95
73;5038;259;4583;90
74;5109;234;4547;80
75;5152;235;4511;72
76;5202;221;4480;67
77;5246;213;4446;65
78;5309;181;4411;69
79;5354;170;4381;65
80;5392;167;4356;55
81;5431;158;4328;53
82;5458;156;4304;52
83;5488;154;4284;44
84;5527;139;4269;35
85;5555;131;4250;34
86;5587;114;4230;39
87;5615;105;4214;36
88;5635;105;4205;25
89;5664;92;4197;17
90;5681;84;4187;18
91;5702;71;4170;27
92;5713;70;4163;24
93;5732;68;4154;16
94;5746;61;4148;15
95;5761;55;4138;16
96;5772;50;4132;16
97;5779;53;4129;9
98;5795;43;4122;10
99;5800;41;4117;12
100;5808;40;4110;12
101;5821;32;4104;13
102;5830;30;4098;12
103;5836;30;4095;9
104;5840;32;4089;9
105;5846;29;4083;12
106;5849;32;4082;7
107;5853;34;4079;4
108;5862;26;4073;9
109;5869;22;4068;11
110;5874;23;4065;8
111;5877;25;4063;5
112;5881;24;4062;3
113;5886;21;4058;5
114;5892;16;4055;7
115;5895;17;4053;5
116;5900;15;4051;4
117;5903;14;4044;9
118;5905;14;4042;9
119;5910;16;4039;5
120;5913;15;4039;3
121;5914;17;4039;0
122;5917;14;4038;1
123;5923;8;4037;2
124;5923;9;4033;5
125;5927;6;4032;5
126;5930;7;4032;1
127;5930;8;4032;0
128;5931;7;4032;0
129;5932;6;4032;0
130;5933;5;4032;0
131;5937;1;4032;0
132;5937;1;4032;0
133;5938;0;4032;0
134;5938;0;4032;0
135;5938;0;4032;0
136;5938;0;4032;0
137;5938;0;4032;0
138;5938;0;4032;0
139;5938;0;4032;0
140;5938;0;4032;0
141;5938;0;4032;0
